name,qtrly,shares,amount,net,xdate,paiddate,cost_amt,pct,actual
AH,0.96,1200,1152,1036.8,2024-03-15,2024-05-25,44400,2.34,0
AIMIRT,0.223,10000,2230,2007.0,2024-03-15,2024-03-30,110000,1.82,1
ASK,1.44,4500,6480,5832.0,2024-02-28,2024-04-27,139500,4.18,0
ASP,0.13,30000,3900,3510.0,2024-03-08,2024-05-17,114000,3.08,0
BCH,0.4,4000,1600,1440.0,2024-05-09,2024-05-19,86800,1.66,0
CPNREIT,0.0607,60000,3642,3277.8,2024-02-28,2024-03-16,1053000,0.31,1
DIF,0.2535,30000,7605,6844.5,2024-02-10,2024-03-07,441000,1.55,1
GVREIT,0.198,60000,11880,10692.0,2024-02-27,2024-03-10,474000,2.26,1
IVL,0.4,7200,2880,2592.0,2024-05-03,2024-05-19,288000,0.9,1
JASIF,0.23,130000,29900,26910.0,2024-03-02,2024-03-20,1300000,2.07,1
JMART,0.66,6800,4488,4039.2,2024-04-11,2024-05-03,224400,1.8,0
JMT,0.59,4200,2478,2230.2,2024-04-11,2024-05-02,233100,0.96,0
KCE,0.6,10000,6000,5400.0,2024-03-20,2024-05-12,772500,0.7,0
MCS,0.2,78000,15600,14040.0,2024-03-17,2024-05-08,1177800,1.19,0
NER,0.31,27000,8370,7533.0,2024-04-20,2024-05-09,201150,3.74,0
ORI,0.57,45000,25650,23085.0,2024-05-08,2024-05-25,495000,4.66,0
PTTGC,0.25,6000,1500,1350.0,2024-02-27,2024-04-26,388500,0.35,0
RCL,1.0,27000,27000,24300.0,2024-03-16,2024-05-19,1046250,2.32,0
SCC,2.0,600,1200,1080.0,2024-04-07,2024-04-25,243000,0.44,0
SENA,0.0784,105000,8232,7408.8,2024-05-11,2024-05-25,470400,1.58,0
SINGER,0.26,6000,1560,1404.0,2024-05-03,2024-05-19,148800,0.94,0
STA,1.0,5000,5000,4500.0,2024-04-19,2024-05-08,200000,2.25,0
SYNEX,0.52,15000,7800,7020.0,2024-03-09,2024-05-02,430500,1.63,0
TFFIF,0.1032,20000,2064,1857.6,2024-03-02,2024-03-21,150000,1.24,1
TMT,0.15,36000,5400,4860.0,2024-04-18,2024-05-03,367200,1.32,0
TOA,0.25,1000,250,225.0,2024-05-09,2024-05-26,26000,0.87,0
WHAIR,0.1218,50000,6090,5481.0,2024-03-10,2024-03-30,435000,1.26,1
WHART,0.1265,20000,2530,2277.0,2024-03-08,2024-03-24,246000,0.93,1
