name,prc_pct,tdy_price,avg_price,qty_pct,tdy_qty,avg_qty
TMT,-0.33,7.45,7.475,311.07,166910,40604
ASP,-0.35,2.84,2.8499999999999996,23.06,797762,648288
MCS,-0.36,6.95,6.975,275.21,971170,258833
DIF,-0.41,12.0,12.05,36.35,14462391,10606683
WHAIR,-1.02,7.3,7.375,91.68,624409,325750
IVL,-1.08,34.5,34.875,56.99,21332792,13588443
AH,-1.5,32.75,33.25,17.69,2218095,1884636
NER,-1.68,4.68,4.76,58.06,3358024,2124546
WHART,-1.82,10.8,11.0,20.78,2105047,1742942
RCL,-1.84,24.0,24.450000000000003,11.9,2209763,1974773
ORI,-2.26,10.8,11.05,410.45,9254903,1813071
PTTGC,-2.27,37.75,38.625,32.06,16144456,12224901
JMT,-2.82,38.75,39.875,54.24,16235463,10525922
BCH,-3.03,17.6,18.15,177.79,16990840,6116379
ASK,-3.32,25.5,26.375,46.76,641187,436892
STA,-3.76,17.9,18.6,39.24,10422610,7485270
KCE,-5.45,39.0,41.25,4.19,9272773,8899745
SINGER,-6.98,10.0,10.75,126.32,14049650,6207878
JMART,-12.17,16.6,18.9,390.34,59073442,12047505
