period,name,id_x,publish_date,q_amt,y_amt,diff
2,ASK,42,2023-05-09,402797,351037,51760
2,ASP,44,2023-05-12,127581,146221,-18640
2,BANPU,51,2023-05-10,4988017,10264206,-5276189
4,BCH,55,2023-05-11,253868,2028333,-1774465
2,DIF,146,2023-05-12,2808402,2894820,-86418
2,GVREIT,209,2023-02-14,196556,196044,512
2,GVREIT,209,2023-05-15,193037,190821,2216
3,IVL,238,2023-05-10,1023397,14069905,-13046508
1,JASIF,241,2023-05-09,-1430001,1614430,-3044431
4,JMART,244,2023-05-12,-294732,325116,-619848
3,JMT,245,2023-05-12,453065,366955,86110
4,KCE,256,2023-05-09,345469,589771,-244302
1,MCS,301,2023-05-15,-15153,262711,-277864
2,NER,649,2023-05-11,314379,468890,-154511
2,ORI,347,2023-05-15,797850,737941,59909
1,PTTGC,391,2023-05-10,82446,2596008,-2513562
2,RCL,401,2023-05-12,912900,8222560,-7309660
4,SCC,433,2023-04-26,16525735,8843504,7682231
2,SENA,443,2023-05-15,86280,336344,-250064
3,SINGER,452,2023-05-12,-843365,215414,-1058779
2,STA,489,2023-05-09,287922,1509018,-1221096
4,SYNEX,504,2023-05-11,135545,222285,-86740
1,TMT,553,2023-05-12,204754,126938,77816
2,WHART,630,2023-05-10,689965,603460,86505
