Team,P,W,D,L,F,A,GD,Pts
Liverpool,25,17,6,2,59,24,35,57
Arsenal,25,17,4,4,58,22,36,55
Man City,24,16,5,3,57,26,31,53
Aston Villa,25,15,4,6,52,33,19,49
Tottenham,25,14,5,6,52,38,14,47
Man Utd,24,13,2,9,33,33,0,41
Newcastle,25,11,4,10,53,41,12,37
West Ham,25,10,6,9,36,44,-8,36
Chelsea,25,10,5,10,42,41,1,35
Wolves,25,10,5,10,39,40,-1,35
Brighton,24,9,8,7,43,40,3,35
Fulham,25,8,5,12,34,41,-7,29
Bournemouth,24,7,7,10,33,46,-13,28
Brentford,24,7,4,13,35,43,-8,25
Nottm Forest,25,6,6,13,32,44,-12,24
Crystal Palace,24,6,6,12,27,43,-16,24
Luton,23,5,5,13,33,45,-12,20
Everton,24,8,5,11,26,32,-6,19
Burnley,25,3,4,18,25,55,-30,13
Sheff Utd,24,3,4,17,22,60,-38,13
