name,date,price,change,%change,open,high,low,volume,value(m)
ACE,2023-07-03,1.93,-0.02,-1.025641,1.95,1.96,1.92,13723596,26647.52841
ADVANC,2023-07-03,212.0,-2.0,-0.934579,215.0,215.0,210.0,4515201,957511.585
AEONTS,2023-07-03,187.5,0,0,188.5,188.5,185,95649,17835.5415
AH,2023-07-03,35.0,0.25,0.719424,34.5,35.0,33.5,1996535,68722.305
AIMIRT,2023-07-03,11.4,0,0,11.5,11.5,11.4,12701,145.8715
AIT,2023-07-03,5.05,0.19,3.909465,4.9,5.05,4.84,3188145,15845.479449999999
AJ,2023-07-03,8.95,0.0,0.0,9.0,9.0,8.85,19521,173.4269
AMATA,2023-07-03,21.9,-0.3,-1.351351,22.2,22.4,21.8,5733741,126390.7491
ANAN,2023-07-03,0.9,0.02,2.272727,0.88,0.91,0.87,1968759,1763.39551
AOT,2023-07-03,71.75,-0.25,-0.347222,72.0,72.25,71.5,6768346,485544.72375
AP,2023-07-03,11.4,-0.1,-0.869565,11.5,11.6,11.3,5165107,58948.518200000006
ASIAN,2023-07-03,8.3,0.05,0.606061,8.25,8.35,8.15,447198,3682.79805
ASK,2023-07-03,25.25,0.25,1.0,25.0,25.25,24.9,246501,6186.81015
ASP,2023-07-03,2.82,0.04,1.438849,2.76,2.82,2.76,1098664,3076.56506
ASW,2023-07-03,8.2,0.05,0.613497,8.15,8.2,8.1,118236,963.5834
AWC,2023-07-03,4.84,-0.1,-2.024291,4.94,4.96,4.8,29121743,141193.70314
BA,2023-07-03,15.8,0.4,2.597403,15.4,15.9,15.2,2617022,40869.3156
BAM,2023-07-03,10.7,0.0,0.0,10.8,10.8,10.6,5602825,59954.0316
BANPU,2023-07-03,8.95,0.1,1.129944,8.85,8.95,8.8,58187024,517417.0923
BBL,2023-07-03,159.5,0.0,0.0,160.0,160.5,158.0,8286583,1319299.5615
BCH,2023-07-03,17.8,0.1,0.564972,17.6,17.9,17.5,4156639,73735.9913
BCP,2023-07-03,36.25,-0.25,-0.684932,36.25,36.25,35.5,3461775,124629.13175
BCPG,2023-07-03,9.1,-0.05,-0.546448,9.15,9.2,9.05,1831188,16657.966949999998
BDMS,2023-07-03,27.75,0.0,0.0,27.75,28.0,27.5,18221311,505248.44575
BEAUTY,2023-07-03,0.57,0.06,11.764706,0.52,0.6,0.51,35587849,19914.0633
BEM,2023-07-03,8.6,0.05,0.584795,8.55,8.7,8.5,34319567,295013.34445
BGC,2023-07-03,9.5,0.05,0.529101,9.45,9.5,9.4,59884,566.8357
BGRIM,2023-07-03,35.0,0.25,0.719424,34.75,35.25,34.5,5608014,195100.54525
BH,2023-07-03,225.0,-1.0,-0.442478,227.0,228.0,225.0,728873,164801.694
BJC,2023-07-03,34.5,-0.25,-0.719424,35.0,35.0,34.0,1511320,52004.779
BKI,2023-07-03,304.0,0.0,0.0,304.0,305.0,301.0,10794,3270.028
BLA,2023-07-03,24.9,0.3,1.219512,24.6,24.9,24.2,2703242,66370.3094
BLAND,2023-07-03,0.83,0.01,1.219512,0.83,0.83,0.82,3674943,3033.3777
BPP,2023-07-03,14.6,0.3,2.097902,14.4,14.8,14.4,1334742,19464.067
BTS,2023-07-03,7.7,0.25,3.355705,7.5,7.7,7.4,38383070,292058.59445
BTSGIF,2023-07-03,3.58,0.1,2.873563,3.5,3.58,3.5,3845002,13620.86514
CBG,2023-07-03,65.0,-0.5,-0.763359,65.5,65.75,64.5,3652271,237378.05625
CENTEL,2023-07-03,48.5,-1.0,-2.020202,50.0,50.25,48.0,3300252,160203.0845
CHG,2023-07-03,3.0,0.0,0.0,2.98,3.0,2.94,16098898,47965.23838
CK,2023-07-03,19.8,0.5,2.590674,19.6,19.8,19.2,2920978,57298.0769
CKP,2023-07-03,3.54,0.04,1.142857,3.56,3.58,3.5,4934853,17473.821
COM7,2023-07-03,27.0,0.5,1.886792,26.75,27.25,26.25,5952546,159734.6335
CPALL,2023-07-03,62.75,0.25,0.4,62.75,63.0,61.75,14512732,907432.35175
CPF,2023-07-03,19.7,0.0,0.0,19.8,19.8,19.5,10195906,200841.42419999998
CPN,2023-07-03,65.5,0.0,0.0,65.25,65.75,64.5,7917993,516178.78756
CPNCG,2023-07-03,10,0.05,0.502513,9.95,10,9.95,77950,775.88
CPNREIT,2023-07-03,10.8,0,0,10.9,11,10.7,1868606,20115.3688
CPTGF,2023-07-03,6.55,0.05,0.769231,6.5,6.55,6.5,189600,1239.32
CRC,2023-07-03,39.0,0.0,0.0,39.0,39.5,38.25,19543453,759761.04875
DELTA,2023-07-03,94.0,2.0,2.173913,92.5,94.0,92.25,4025924,376151.35475
DIF,2023-07-03,11.1,0,0,11.2,11.2,11,8540783,94831.3033
DOHOME,2023-07-03,12.1,-0.2,-1.626016,12.3,12.4,12.0,3910712,47367.552200000006
EA,2023-07-03,56.25,-0.75,-1.315789,56.75,57.0,55.5,8546303,480564.02375
EASTW,2023-07-03,4.26,-0.06,-1.388889,4.36,4.38,4.22,576734,2452.39762
ECL,2023-07-03,1.58,0.01,0.636943,1.6,1.6,1.55,324600,509.241
EGCO,2023-07-03,131.5,1.0,0.766284,131.0,132.5,130.0,728850,95686.898
EPG,2023-07-03,6.95,0.05,0.724638,6.9,7.0,6.85,2661195,18420.814
ESSO,2023-07-03,8.8,0.0,0.0,8.8,8.85,8.75,3732646,32851.306300000004
FORTH,2023-07-03,27.0,0.25,0.934579,27.0,27.25,26.25,708835,19042.74275
FTREIT,2023-07-03,10.7,0.1,0.943396,10.6,10.7,10.6,47302,503.5616
GFPT,2023-07-03,12.6,-0.2,-1.5625,12.8,12.8,12.5,3575826,45162.0609
