trade,name,spd,reason,market,qty,target,price,change,%change,active,xdate
B,AH,0,RD15pct,SET,600,31.0,35.0,0.75,2.189781,0,2023-08-29
B,AWC,0,RD25pct,SET50,4000,3.66,4.1,-0.02,-0.485437,0,2022-12-22
B,BBL,0,XXX,SET50,400,155.0,167.5,1.0,0.600601,0,2023-09-08
B,BEM,0,XXX,SET50,2500,7.8,9.05,-0.05,-0.549451,0,2022-12-22
B,BH,0,10S,SET50,100,250.0,258.0,-2.0,-0.769231,0,2022-12-22
B,CK,0,XXX,SET100,1000,22.1,23.3,0.0,0.0,0,2022-12-22
B,CPN,0,10S,SET50,300,64.5,69.0,-0.5,-0.719424,0,2022-12-22
B,DELTA,0,XXX,SET50,200,90.0,107.5,-3.0,-2.714932,0,2022-12-22
B,DIF,0,RD40pct,SET,3000,8.65,9.3,0.15,1.639344,1,2023-08-15
B,HANA,0,10S,SET100,400,59.0,62.75,-0.25,-0.396825,0,2022-12-22
B,ICHI,0,XXX,SET,1500,14.3,16.7,0.0,0.0,0,2022-12-22
B,III,0,10S,SET,2000,10.8,11.9,-0.1,-0.833333,0,2022-12-22
B,IVL,0,RD30pct,SET50,800,27.5,29.5,0.75,2.608696,1,2023-08-28
B,JASIF,0,RD35pct,SET,4000,6.5,6.95,0.1,1.459854,1,2023-08-21
B,JMART,0,RD45pct,SET50,3000,18.9,22.3,1.1,5.188679,1,2023-08-24
B,JMT,0,RD30pct,SET50,1800,39.75,46.5,1.0,2.197802,0,2023-08-24
B,KTB,0,10S,SET50,1000,18.8,19.3,0.2,1.04712,0,2023-04-20
B,M,0,10S,SET,500,46.0,48.75,0.25,0.515464,0,2022-12-22
B,MCS,0,RD60pct,SET,4000,6.0,6.15,0.1,1.652893,1,2023-03-17
B,NER,0,RD40pct,SET,3000,4.44,4.64,0.02,0.4329,1,2023-08-25
B,ORI,0,RD05pct,SET100,5000,10.5,10.8,0.2,1.886792,1,2023-08-28
B,PSH,0,10S,SET,2000,12.2,13.0,-0.4,-2.985075,0,2023-03-10
B,PTTEP,0,XXX,SET50,200,134.5,159.0,1.5,0.952381,0,2023-08-15
B,PTTGC,0,RD4,SET50,600,34.5,38.0,1.5,4.109589,1,2023-02-27
B,QH,0,10S,SET100,10000,2.1,2.28,0.0,0.0,0,2023-08-23
B,SAPPE,0,10S,SET,300,89.0,92.5,-3.25,-3.394256,0,2022-12-22
B,SC,0,10S,SET,5000,4.1,4.3,0.0,0.0,0,2023-04-29
B,SENA,0,RD45pct,SET,7000,2.56,2.82,-0.02,-0.704225,0,2023-08-28
B,SINGER,0,RD60pct,SET100,3000,9.5,11.3,1.0,9.708738,0,2023-08-03
B,SIRI,0,10S,SET,10000,1.9,2.04,0.02,0.990099,0,2022-12-22
B,STA,0,RD70pct,SET100,2500,12.7,14.6,0.7,5.035971,1,2023-08-24
B,SYNEX,0,RD65pct,SET,2000,10.0,13.2,0.4,3.125,0,2023-08-25
B,TFFIF,0,DOS,SET,10000,7.35,7.45,-0.05,-0.666667,1,2023-08-31
B,TMT,0,RD40pct,SET,3000,6.3,6.95,0.0,0.0,0,2023-08-24
B,TOA,0,10S,SET,1000,24.0,28.0,0.25,0.900901,0,2022-12-22
B,TTB,0,XXX,SET50,15000,1.64,1.76,0.04,2.325581,0,2022-12-22
S,AIMIRT,0,DOS,SET,10000,11.1,11.0,0.1,0.917431,1,2023-08-23
S,ASK,0,COS,SET,4500,31.25,25.75,0.0,0.0,0,2023-02-28
S,ASP,0,COS,SET,30000,3.82,3.0,0.04,1.351351,0,2023-08-28
S,BCH,0,COS,SET100,3000,21.4,19.4,0.2,1.041667,0,2023-08-31
S,CPNREIT,0,XXX,SET,5000,13.2,10.8,0.0,0.0,0,2023-08-23
S,GVREIT,0,DOS,SET,6000,7.4,7.35,0.0,0.0,2,2023-08-28
S,KCE,0,COS,SET100,1000,61.75,50.0,-0.75,-1.477833,0,2023-08-21
S,PTG,0,5pct,SET100,3600,12.1,10.6,0.1,0.952381,0,2022-12-22
S,RCL,0,XXX,SET100,3000,30.5,21.6,0.2,0.934579,0,2023-08-24
S,SCC,0,XXX,SET50,300,385.0,319.0,3.0,0.949367,0,2023-08-09
S,WHAIR,0,DOS,SET,10000,7.75,6.95,0.05,0.724638,1,2023-08-18
S,WHART,0,DOS,SET,10000,10.6,10.4,0.0,0.0,2,2023-08-21
