name,date,price,high,low,volume,open
ACE,2024-01-17,1.56,1.61,1.56,6661001,1.61
ADVANC,2024-01-17,213.0,216.0,213.0,4804933,216.0
AEONTS,2024-01-17,152.5,156.0,152.5,97254,155.0
AH,2024-01-17,29.0,29.75,28.25,3738727,29.25
AIMIRT,2024-01-17,10.7,10.8,10.6,452800,10.8
AIT,2024-01-17,3.78,3.88,3.76,950509,3.86
AMATA,2024-01-17,22.3,24.1,22.1,33093050,24.0
ANAN,2024-01-17,0.84,0.86,0.82,7008171,0.86
AOT,2024-01-17,61.25,63.0,61.25,35753759,63.0
AP,2024-01-17,11.3,11.5,11.2,10344219,11.5
ASIAN,2024-01-17,6.75,6.95,6.75,1575847,6.75
ASK,2024-01-17,19.9,20.1,19.9,919482,20.1
ASP,2024-01-17,2.84,2.86,2.82,968720,2.86
ASW,2024-01-17,8.3,8.3,8.2,106441,8.3
AWC,2024-01-17,4.02,4.16,4.02,55340267,4.14
BA,2024-01-17,14.9,15.2,14.8,1741910,15.1
BAM,2024-01-17,8.05,8.2,8.05,7660046,8.15
BANPU,2024-01-17,6.35,6.55,6.3,91105592,6.5
BBL,2024-01-17,148.0,150.5,148.0,12334321,149.5
BCH,2024-01-17,22.4,22.9,22.4,13224830,22.5
BCP,2024-01-17,40.25,40.5,39.75,2307900,40.0
BCPG,2024-01-17,8.25,8.4,8.25,2842889,8.4
BDMS,2024-01-17,27.25,27.75,27.0,47266216,27.75
BEC,2024-01-17,4.82,4.96,4.8,13216417,4.94
BEM,2024-01-17,7.65,7.9,7.65,70116107,7.9
BGC,2024-01-17,7.7,7.8,7.65,79314,7.75
BGRIM,2024-01-17,26.25,26.75,25.5,22674450,26.5
BH,2024-01-17,235.0,237.0,230.0,5374492,237.0
BLA,2024-01-17,19.5,20.0,19.5,1671343,20.0
BLAND,2024-01-17,0.8,0.81,0.78,19947448,0.81
BPP,2024-01-17,14.4,14.6,14.2,637326,14.6
BTS,2024-01-17,7.1,7.2,7.0,46585736,7.15
BTSGIF,2024-01-17,3.44,3.48,3.44,9195304,3.46
CBG,2024-01-17,77.0,77.25,75.0,3289116,75.0
CENTEL,2024-01-17,42.5,42.5,42.0,1511990,42.5
CHG,2024-01-17,3.12,3.18,3.1,13759589,3.18
CK,2024-01-17,21.7,22.4,21.7,2401965,22.2
CKP,2024-01-17,3.84,3.92,3.84,15200121,3.84
COM7,2024-01-17,22.1,22.3,21.8,16424463,22.2
CPALL,2024-01-17,53.75,54.5,53.75,20637567,53.75
CPF,2024-01-17,18.5,18.9,18.5,11215924,18.9
CPN,2024-01-17,63.25,64.0,62.5,13823581,63.75
CPNCG,2024-01-17,6.6,6.7,6.6,220212,6.7
CPNREIT,2024-01-17,11.3,11.5,11.3,1466789,11.4
CPTGF,2024-01-17,5.4,5.5,5.4,575400,5.4
CRC,2024-01-17,37.75,38.25,37.25,11409645,38.25
DCC,2024-01-17,1.63,1.68,1.62,13453440,1.68
DELTA,2024-01-17,82.75,83.75,82.0,16811678,82.25
DIF,2024-01-17,8.25,8.4,8.2,15460991,8.4
DOHOME,2024-01-17,10.6,10.8,10.6,7715173,10.8
EA,2024-01-17,39.75,41.25,39.75,20981832,41.25
ECL,2024-01-17,1.41,1.44,1.4,1293000,1.43
EGCO,2024-01-17,128.0,130.5,127.5,1631887,129.0
EPG,2024-01-17,7.85,8.1,7.8,4458276,8.1
FORTH,2024-01-17,20.2,21.0,20.1,1427099,20.7
FPT,2024-01-17,15.2,15.2,15,41700,15
FTREIT,2024-01-17,10.1,10.3,10.1,2339927,10.3
GFPT,2024-01-17,11.2,11.6,11.2,1982304,11.6
GLOBAL,2024-01-17,15.7,16.0,15.6,5381651,15.9
GPSC,2024-01-17,46.0,47.75,46.0,8687841,47.5
GULF,2024-01-17,45.25,45.75,45.0,13543045,45.75
GUNKUL,2024-01-17,2.92,2.98,2.9,74880390,2.96
GVREIT,2024-01-17,6.1,6.2,6.05,601826,6.15
HANA,2024-01-17,50.25,51.5,50.0,9866888,50.25
HMPRO,2024-01-17,11.2,11.7,11.2,61194157,11.7
HTC,2024-01-17,15.6,15.9,15.6,502650,15.9
ICHI,2024-01-17,16.0,16.1,15.6,7180187,15.7
III,2024-01-17,9.6,9.65,9.35,2903607,9.45
ILM,2024-01-17,23.4,23.4,23.0,493373,23.4
IMPACT,2024-01-17,12.1,12.3,12,1300710,12.2
INOX,2024-01-17,0.59,0.61,0.59,265500,0.61
INTUCH,2024-01-17,71.5,72.25,71.25,3850600,72.25
IRPC,2024-01-17,1.94,1.97,1.93,52617391,1.95
IVL,2024-01-17,24.9,25.75,24.9,23827757,25.75
JASIF,2024-01-17,6.25,6.4,6.2,5154174,6.3
JMART,2024-01-17,16.2,16.8,16.2,7374407,16.6
JMT,2024-01-17,24.9,26.0,24.9,9493826,25.25
KBANK,2024-01-17,131.0,132.0,130.0,12072884,130.5
KCE,2024-01-17,49.5,50.5,49.25,7462971,49.5
KEX,2024-01-17,5.55,5.75,5.55,5239879,5.7
KGI,2024-01-17,4.7,4.76,4.68,1603569,4.76
KKP,2024-01-17,48.25,49.0,48.0,2882955,48.75
KSL,2024-01-17,2.74,2.76,2.66,2249708,2.76
KTB,2024-01-17,18.1,18.3,18.0,53198415,18.3
KTC,2024-01-17,42.5,43.5,42.5,5413182,42.75
LALIN,2024-01-17,8.05,8.05,8,62283,8.05
LANNA,2024-01-17,15.0,15.3,15.0,546497,15.3
LH,2024-01-17,7.65,7.9,7.6,56818037,7.9
LHK,2024-01-17,4.36,4.4,4.34,52653,4.36
LPF,2024-01-17,13.2,13.3,13.2,1771933,13.3
LPN,2024-01-17,3.9,3.96,3.9,437183,3.96
M,2024-01-17,35.25,37.75,35.0,3450775,37.5
MAJOR,2024-01-17,14.5,14.7,14.3,2599332,14.3
MC,2024-01-17,13.7,13.9,13.6,2338483,13.9
MCS,2024-01-17,6.35,6.45,6.35,286833,6.4
MEGA,2024-01-17,41.0,41.5,41.0,933799,41.25
MINT,2024-01-17,27.75,28.25,27.5,20685916,27.75
MST,2024-01-17,11,11.2,11,13103,11.1
MTC,2024-01-17,43.0,44.25,42.75,6960102,43.0
NER,2024-01-17,5.15,5.2,5.05,6027694,5.2
NOBLE,2024-01-17,3.9,4.22,3.88,7384189,4.0
ONEE,2024-01-17,4.04,4.14,4.02,5628583,4.12
OR,2024-01-17,18.5,18.9,18.5,12624387,18.8
ORI,2024-01-17,8.45,8.65,8.4,6409176,8.6
OSP,2024-01-17,21.6,21.9,21.5,9480780,21.8
PAP,2024-01-17,2.64,2.68,2.64,16201,2.66
PLANB,2024-01-17,8.7,8.7,8.6,7411246,8.7
POPF,2024-01-17,6.55,6.55,6.5,192117,6.55
PRM,2024-01-17,5.9,5.95,5.6,36942027,5.7
PSH,2024-01-17,12.2,12.3,12.1,508831,12.2
PSL,2024-01-17,7.85,8.3,7.85,16951146,8.25
PTG,2024-01-17,8.7,8.9,8.6,8699622,8.9
PTL,2024-01-17,10.5,10.7,10.5,311067,10.7
PTT,2024-01-17,33.5,33.75,33.0,83657742,33.75
PTTEP,2024-01-17,148.0,149.5,147.0,15866516,149.0
PTTGC,2024-01-17,35.25,35.75,35.0,8640028,35.75
QH,2024-01-17,2.2,2.22,2.2,9679560,2.22
RATCH,2024-01-17,30.25,31.0,30.25,4079547,31.0
RBF,2024-01-17,12.9,13.3,12.5,18140150,13.0
RCL,2024-01-17,25.75,27.0,25.5,4673650,26.5
RJH,2024-01-17,27.0,27.5,27.0,84318,27.25
ROJNA,2024-01-17,6.05,6.25,6.0,4998454,6.25
RS,2024-01-17,13.5,13.6,13.3,1240269,13.5
S11,2024-01-17,3.9,3.92,3.9,61302,3.92
SABUY,2024-01-17,5.0,5.05,4.96,10022169,5.05
SAPPE,2024-01-17,83.25,83.75,82.5,621603,83.25
SAT,2024-01-17,18.3,18.5,18.3,770989,18.5
SAWAD,2024-01-17,40.25,40.5,40.0,6830777,40.25
SC,2024-01-17,3.26,3.32,3.26,5789132,3.3
SCB,2024-01-17,102.5,104.5,102.5,10936899,103.5
SCC,2024-01-17,273.0,283.0,273.0,6323670,283.0
SCGP,2024-01-17,32.25,33.25,31.5,29732045,33.25
SENA,2024-01-17,2.34,2.48,2.34,796954,2.48
SINGER,2024-01-17,10.9,11.4,10.9,4840498,11.1
SIRI,2024-01-17,1.73,1.79,1.73,105255881,1.79
SIS,2024-01-17,23.2,24.4,22.7,2017747,24.3
SJWD,2024-01-17,13.2,13.7,13.1,5227041,13.7
SMPC,2024-01-17,9.65,9.8,9.65,230629,9.75
SNC,2024-01-17,8.9,9.0,8.85,82517,9.0
SPALI,2024-01-17,19.3,19.5,19.1,8468370,19.4
SPCG,2024-01-17,12.5,12.5,12.3,259454,12.5
SPRC,2024-01-17,7.95,8.0,7.85,10031588,7.95
SPRIME,2024-01-17,4.82,4.88,4.8,151311,4.88
SSP,2024-01-17,8.05,8.15,8.0,1799832,8.15
STA,2024-01-17,16.9,17.5,16.9,6115262,17.5
STANLY,2024-01-17,230.0,232.0,227.0,198171,230.0
STEC,2024-01-17,8.9,9.4,8.9,8239651,9.35
STGT,2024-01-17,7.15,7.3,7.15,5629374,7.25
SUPER,2024-01-17,0.42,0.43,0.41,24558092,0.43
SYNEX,2024-01-17,11.2,11.6,10.8,1270883,11.6
TASCO,2024-01-17,16.4,16.6,16.3,4808067,16.6
TCAP,2024-01-17,49.0,49.25,49.0,1970401,49.25
TFFIF,2024-01-17,7.05,7.1,7.05,954401,7.1
TFG,2024-01-17,3.68,3.78,3.68,3195924,3.76
THANI,2024-01-17,2.6,2.66,2.56,9506494,2.66
THG,2024-01-17,53.0,54.0,52.5,432893,53.5
TIDLOR,2024-01-17,22.6,22.9,22.4,13905823,22.6
TIPCO,2024-01-17,9.4,9.4,9.3,926170,9.4
TISCO,2024-01-17,98.0,98.75,97.75,7938626,98.75
TK,2024-01-17,5.55,5.6,5.5,243000,5.6
TKN,2024-01-17,10.3,10.5,10.0,29904043,10.0
TKS,2024-01-17,6.8,7.1,6.5,676906,7.1
TMT,2024-01-17,6.05,6.15,6.05,117871,6.15
TOA,2024-01-17,22.2,22.5,22.1,1218153,22.5
TOP,2024-01-17,52.0,52.5,51.5,8349810,52.0
TPIPL,2024-01-17,1.42,1.44,1.4,3909228,1.44
TQM,2024-01-17,29.0,29.25,28.25,550300,29.0
TRUE,2024-01-17,5.25,5.3,5.15,113297351,5.3
TSE,2024-01-17,2.12,2.36,2.12,14984890,2.32
TSTH,2024-01-17,0.84,0.86,0.84,965615,0.86
TTA,2024-01-17,6.15,6.4,6.15,9117158,6.3
TTB,2024-01-17,1.59,1.62,1.59,183112644,1.61
TTLPF,2024-01-17,17.9,18,17.9,15614,18
TTW,2024-01-17,9.4,9.55,9.35,5055710,9.4
TU,2024-01-17,15.0,15.2,14.2,129691034,14.4
TVO,2024-01-17,21.5,21.7,21.4,370357,21.6
TYCN,2024-01-17,2.6,2.6,2.54,7000,2.58
UTP,2024-01-17,12.0,12.0,11.8,118801,12.0
VGI,2024-01-17,1.79,1.84,1.78,35301765,1.82
