,name,shares,unit_cost,cost_amt,mkt_price,market_amt,dividend,div_amt,cost_pct,mkt_pct,profit,pft_pct,period
4,MCS,78000,15.1,1177800.0,6.25,487500.0,0.2,15600.0,1.32,3.2,-690300.0,-58.61,1
15,PTTGC,6000,64.75,388500.0,33.5,201000.0,0.25,1500.0,0.39,0.75,-187500.0,-48.26,1
1,SINGER,6000,24.8,148800.0,9.7,58200.0,0.26,1560.0,1.05,2.68,-90600.0,-60.89,1
26,SYNEX,15000,28.7,430500.0,10.6,159000.0,0.62,9300.0,2.16,5.85,-271500.0,-63.07,1
29,AIMIRT,10000,11.0,110000.0,10.6,106000.0,0.892,8920.0,8.11,8.42,-4000.0,-3.64,2
13,ASP,30000,3.8,114000.0,2.8,84000.0,0.21,6300.0,5.53,7.5,-30000.0,-26.32,2
30,CPNREIT,60000,17.55,1053000.0,11.0,660000.0,0.8547,51282.0,4.87,7.77,-393000.0,-37.32,2
5,DIF,30000,14.7,441000.0,8.2,246000.0,0.9348,28044.0,6.36,11.4,-195000.0,-44.22,2
21,GVREIT,60000,7.9,474000.0,5.9,354000.0,0.7821,46926.0,9.9,13.26,-120000.0,-25.32,2
12,JASIF,130000,10.0,1300000.0,6.15,799500.0,0.69,89700.0,6.9,11.22,-500500.0,-38.5,2
28,RCL,27000,38.75,1046250.0,25.25,681750.0,1.25,33750.0,3.23,4.95,-364500.0,-34.84,2
0,STA,5000,40.0,200000.0,17.3,86500.0,1.0,5000.0,2.5,5.78,-113500.0,-56.75,2
11,TFFIF,20000,7.5,150000.0,7.05,141000.0,0.413,8260.0,5.51,5.86,-9000.0,-6.0,2
16,WHAIR,50000,8.7,435000.0,5.35,267500.0,0.5325,26625.0,6.12,9.95,-167500.0,-38.51,2
8,WHART,20000,12.3,246000.0,9.8,196000.0,0.77,15400.0,6.26,7.86,-50000.0,-20.33,2
18,AH,1200,37.0,44400.0,29.25,35100.0,1.66,1992.0,4.49,5.68,-9300.0,-20.95,3
20,ASK,4500,31.0,139500.0,19.9,89550.0,1.44,6480.0,4.65,7.24,-49950.0,-35.81,3
25,AWC,9000,4.96,44640.0,3.98,35820.0,,,,,-8820.0,-19.76,3
7,JMT,4200,55.5,233100.0,20.5,86100.0,0.93,3906.0,1.68,4.54,-147000.0,-63.06,3
22,NER,27000,7.45,201150.0,5.45,147150.0,0.36,9720.0,4.83,6.61,-54000.0,-26.85,3
17,ORI,45000,11.0,495000.0,8.15,366750.0,0.73,32850.0,6.64,8.96,-128250.0,-25.91,3
24,TOA,1000,26.0,26000.0,21.1,21100.0,0.58,580.0,2.23,2.75,-4900.0,-18.85,3
9,BCH,4000,21.7,86800.0,22.6,90400.0,0.5,2000.0,2.3,2.21,3600.0,4.15,4
19,BEM,3000,7.5,22500.0,7.35,22050.0,,,,,-450.0,-2.0,4
14,IVL,7200,40.0,288000.0,23.6,169920.0,1.15,8280.0,2.88,4.87,-118080.0,-41.0,4
23,JMART,6800,33.0,224400.0,14.4,97920.0,0.66,4488.0,2.0,4.58,-126480.0,-56.36,4
3,KCE,10000,77.25,772500.0,44.5,445000.0,1.2,12000.0,1.55,2.7,-327500.0,-42.39,4
2,PTG,3600,11.4,41040.0,8.6,30960.0,,,,,-10080.0,-24.56,4
27,SCC,600,405.0,243000.0,270.0,162000.0,4.5,2700.0,1.11,1.67,-81000.0,-33.33,4
10,SENA,105000,4.48,470400.0,2.34,245700.0,0.0784,8232.0,1.75,3.35,-224700.0,-47.77,4
6,TMT,36000,10.2,367200.0,5.85,210600.0,0.3,10800.0,2.94,5.13,-156600.0,-42.65,4
