id,stock_id,date,year,month,price,qty,amt,net,status,kind
426,31,2017-04-17,2017,4,3.76,10000,37600.0,37683.28,Sold,HD
657,145,2019-11-20,2019,11,5.31,18000,95580.0,95851.83,Sold,DTD
805,167,2021-02-01,2021,2,1.1,240000,264000.0,264584.73,Sold,DTD
645,24,2019-08-28,2019,8,6.35,5000,31750.0,31820.32,Sold,DTD
758,31,2020-08-19,2020,8,2.94,60000,176400.0,176790.71,Sold,DTD
647,24,2019-09-03,2019,9,6.35,5000,31750.0,31820.32,Sold,DTD
648,110,2019-09-04,2019,9,10.3,6000,61800.0,61936.89,Sold,DIV
649,129,2014-06-25,2014,6,17.9,3000,53700.0,53818.94,Sold,DIV
652,129,2014-06-25,2014,6,17.9,4000,71600.0,71758.58,Sold,DIV
654,129,2019-11-11,2019,11,32.0,4000,128000.0,128283.51,Sold,DIV
655,110,2019-11-12,2019,11,10.3,6000,61800.0,61936.89,Sold,DIV
656,24,2019-11-15,2019,11,6.35,10000,63500.0,63640.65,Sold,DTD
653,43,2019-11-11,2019,11,16.7,5000,83500.0,83684.95,Sold,HD
984,183,2021-08-11,2021,8,39.0,1000,39000.0,39086.38,Sold,DTD
639,82,2019-08-05,2019,8,3.76,35000,131600.0,131891.48,Sold,TP
640,131,2019-08-09,2019,8,125.0,1200,150000.0,150332.24,Sold,SS
470,50,2018-02-06,2018,2,20.5,5000,102500.0,102727.03,Sold,TP
497,54,2018-03-05,2018,3,53.45,2200,117590.0,117850.45,Sold,TP
584,125,2018-11-15,2018,11,9.4,5000,47000.0,47104.1,Sold,DTD
473,14,2018-02-06,2018,2,23.0,4000,92000.0,92203.77,Sold,TP
912,27,2021-06-09,2021,6,42.0,3000,126000.0,126279.08,Sold,DTD
475,122,2018-02-09,2018,2,7.35,10000,73500.0,73662.8,Sold,TP
476,3,2018-02-12,2018,2,7.85,27000,211950.0,212419.45,Sold,TP
477,27,2018-02-12,2018,2,53.0,2000,106000.0,106234.78,Sold,TP
478,15,2018-02-14,2018,2,28.0,6000,168000.0,168372.1,Sold,TP
479,131,2018-02-14,2018,2,110.0,600,66000.0,66146.18,Sold,TP
480,133,2018-02-15,2018,2,6.4,45000,288000.0,288637.89,Sold,TP
537,48,2018-07-12,2018,7,9.95,10000,99500.0,99720.39,Sold,HD
482,85,2018-02-15,2018,2,74.5,4000,298000.0,298660.04,Sold,TP
483,89,2018-02-15,2018,2,4.18,60000,250800.0,251355.5,Sold,TP
484,134,2018-02-20,2018,2,20.4,4000,81600.0,81780.73,Sold,TP
485,122,2018-02-09,2018,2,7.25,45000,326250.0,326972.61,Sold,TP
486,118,2018-02-21,2018,2,25.5,12000,306000.0,306677.76,Sold,TP
487,27,2018-02-22,2018,2,49.0,3000,147000.0,147325.59,Sold,SS
488,28,2018-02-22,2018,2,7.88,15000,118200.0,118461.8,Sold,TP
489,135,2018-02-22,2018,2,5.3,10000,53000.0,53117.39,Sold,DIV
512,137,2018-05-14,2018,5,38.75,2500,96875.0,97089.57,Sold,TP
491,118,2018-02-21,2018,2,25.5,4000,102000.0,102225.92,Sold,TP
492,131,2018-02-14,2018,2,110.0,1000,110000.0,110243.64,Sold,TP
614,28,2019-05-08,2019,5,5.8,25000,145000.0,145321.16,Sold,TP
494,66,2018-03-02,2018,3,8.3,9900,82170.0,82352.0,Sold,TP
564,137,2018-05-14,2018,5,38.75,2500,96875.0,97089.57,Sold,TP
431,50,2017-12-12,2017,12,19.0,5000,95000.0,95210.42,Sold,TP
660,24,2019-11-29,2019,11,6.35,15000,95250.0,95460.97,Sold,DTD
