name,date,price,change,%change,open,high,low,volume,daily_volume
ACE,2023-02-10,2.5,-0.02,-0.7936507936507936,2.52,2.52,2.48,9603301,23931.01908
ADVANC,2023-02-10,204.0,4.5,2.255639097744361,202.0,205.0,201.0,8826082,1790930.739
AH,2023-02-10,31.25,-0.75,-2.34375,32.0,32.0,31.0,1938851,61049.86625
AIE,2023-02-10,3.0,-0.04,-1.3157894736842106,3.04,3.04,2.98,1230604,3704.8640800000003
AIMIRT,2023-02-10,12.3,0,0,12.3,12.3,12.3,2900,35.67
AIT,2023-02-10,6.5,-0.05,-0.7633587786259542,6.55,6.55,6.5,358203,2338.99445
AJ,2023-02-10,12.6,-0.2,-1.5625,12.6,12.8,12.5,267592,3362.2909
AMATA,2023-02-10,20.0,-0.2,-0.9900990099009901,20.0,20.1,19.9,3447215,68922.3567
ANAN,2023-02-10,1.41,0.01,0.7142857142857143,1.38,1.41,1.38,3254201,4555.3154
AOT,2023-02-10,73.25,-0.25,-0.3401360544217687,73.25,73.5,73.0,9063262,663702.24725
AP,2023-02-10,12.2,0.4,3.389830508474576,11.9,12.2,11.8,31018893,372588.7182
ASIAN,2023-02-10,13.6,0.0,0.0,13.6,13.7,13.6,94503,1285.561
ASP,2023-02-10,3.1,-0.02,-0.6410256410256411,3.12,3.14,3.1,747309,2327.56208
ASW,2023-02-10,8.6,-0.1,-1.1494252873563218,8.7,8.7,8.55,271604,2343.5992
AWC,2023-02-10,5.8,0.1,1.7543859649122806,5.7,5.8,5.65,33922318,194643.54809999999
BA,2023-02-10,14.3,0,0,14.3,14.5,14.3,436707,6283.980799999999
BAM,2023-02-10,15.8,0.2,1.2820512820512822,15.7,15.9,15.6,11215958,176862.769
BANPU,2023-02-10,10.9,0.0,0.0,11.4,11.5,10.8,289486407,3231095.7226
BBL,2023-02-10,163.5,2.5,1.5527950310559007,161.0,166.0,160.0,9827761,1606036.1945
BCH,2023-02-10,20.9,0.0,0.0,20.9,21.0,20.7,1507761,31414.075800000002
BCP,2023-02-10,35.25,0.0,0.0,35.0,35.5,35.0,1170128,41200.64575
BCPG,2023-02-10,9.85,-0.05,-0.5050505050505051,9.9,9.95,9.85,670612,6629.7619
BDMS,2023-02-10,28.75,-0.25,-0.8620689655172413,28.75,29.0,28.75,6050678,174256.17125
BEAUTY,2023-02-10,1.49,-0.04,-2.6143790849673203,1.53,1.54,1.48,37933402,57238.104060000005
BEC,2023-02-10,9.7,-0.05,-0.5128205128205128,9.75,9.8,9.65,1344600,13061.94
BEM,2023-02-10,9.55,0.0,0.0,9.55,9.55,9.5,7583681,72377.63685
BGC,2023-02-10,10.2,-0.1,-0.970873786407767,10.3,10.3,10.2,39001,399.8603
BGRIM,2023-02-10,40.0,0.0,0.0,40.0,40.25,39.5,905796,36139.72575
BH,2023-02-10,211.0,-1.0,-0.4716981132075472,211.0,212.0,210.0,397312,83948.177
BJC,2023-02-10,38.5,-0.25,-0.6451612903225806,38.5,38.75,38.25,1593175,61367.2245
BKI,2023-02-10,291.0,0.0,0.0,290.0,291.0,289.0,11501,3332.694
BLA,2023-02-10,29.5,-0.25,-0.8403361344537815,29.5,29.75,29.5,605244,17975.93425
BPP,2023-02-10,16.8,-0.1,-0.591715976331361,16.8,16.9,16.7,239716,4023.3804
BTS,2023-02-10,8.2,-0.05,-0.6060606060606061,8.2,8.25,8.15,17394354,142643.19595
BTSGIF,2023-02-10,3.9,0,0,3.9,3.92,3.88,1028202,4009.6638399999997
CBG,2023-02-10,100.5,0.0,0.0,100.0,100.5,99.75,512497,51237.9685
CENTEL,2023-02-10,55.5,0.5,0.9090909090909091,54.5,56.5,54.5,3455251,192649.96825
CHG,2023-02-10,3.84,0.02,0.5235602094240838,3.84,3.84,3.8,2129584,8143.91522
CK,2023-02-10,22.2,-0.3,-1.3333333333333333,22.5,22.6,22.1,1697382,37725.2968
CKP,2023-02-10,4.7,0.04,0.8583690987124464,4.66,4.7,4.66,5202147,24326.185960000003
COM7,2023-02-10,30.75,-0.25,-0.8064516129032258,30.75,31.0,30.5,4235005,130165.85625
COTTO,2023-02-10,2.02,0.0,0.0,2.06,2.06,2.02,501405,1024.91232
CPALL,2023-02-10,67.25,0.0,0.0,67.25,67.5,66.5,7962726,532869.44425
CPF,2023-02-10,23.0,-0.2,-0.8620689655172413,23.1,23.2,22.9,21760484,500355.7717
CPN,2023-02-10,74.25,-0.5,-0.6688963210702341,74.0,74.5,73.25,3598426,265795.153
CPNCG,2023-02-10,11.6,0,0,11.6,11.6,11.5,276400,3188.1341
CPNREIT,2023-02-10,18.4,0,0,18.5,18.5,18.3,600902,11056.9066
CPTGF,2023-02-10,7.85,0,0,7.85,7.85,7.85,153500,1204.975
CRC,2023-02-10,45.5,0.0,0.0,45.25,45.5,44.75,4417223,199375.9415
DCC,2023-02-10,2.84,0.0,0.0,2.82,2.84,2.82,345010,974.73176
DCON,2023-02-10,0.44,0.01,2.3255813953488373,0.43,0.44,0.43,426200,185.291
DELTA,2023-02-10,894.0,-28.0,-3.036876355748373,920.0,934.0,890.0,1817107,1649456.914
DIF,2023-02-10,13.3,-0.2,-1.4814814814814814,13.3,13.4,13.2,11333140,150799.97830000002
DOHOME,2023-02-10,13.8,0.1,0.7299270072992701,13.7,13.8,13.6,1111441,15230.447900000001
DRT,2023-02-10,8.25,0.0,0.0,8.2,8.25,8.2,64033,526.1513
DTAC,2023-02-10,50.25,0.25,0.5,50.0,50.25,49.75,3509907,175440.70125
EA,2023-02-10,88.0,-0.75,-0.8450704225352113,88.75,88.75,87.25,4458865,391606.60375
EASTW,2023-02-10,5.35,0.0,0.0,5.35,5.4,5.3,432431,2313.64365
EGCO,2023-02-10,170.5,-0.5,-0.29239766081871343,170.0,171.0,169.5,267022,45500.0535
EPG,2023-02-10,8.6,-0.05,-0.5780346820809249,8.7,8.7,8.55,720593,6192.763400000001
ESSO,2023-02-10,9.15,0.05,0.5494505494505495,9.1,9.15,9.1,850782,7767.79515
FORTH,2023-02-10,43.25,0.5,1.1695906432748537,42.5,43.5,42.5,3264492,140581.27825
FTREIT,2023-02-10,11.4,-0.2,-1.7241379310344827,11.4,11.4,11.3,241713,2754.9307999999996
GFPT,2023-02-10,12.4,-0.1,-0.8,12.5,12.5,12.2,2199091,27083.6476
GLOBAL,2023-02-10,20.5,-0.2,-0.966183574879227,20.6,20.7,20.4,4869404,99802.7749
GPSC,2023-02-10,67.75,-1.0,-1.4545454545454546,68.5,68.5,67.5,2735173,185809.96825
GULF,2023-02-10,53.75,0.5,0.9389671361502347,53.5,53.75,53.25,6474665,345901.11725
GUNKUL,2023-02-10,4.94,0.0,0.0,4.94,4.94,4.92,4914284,24198.452859999998
GVREIT,2023-02-10,9.75,0,0,9.75,9.75,9.7,75000,728.55
HANA,2023-02-10,59.5,0.0,0.0,59.5,61.0,59.25,6221372,374443.971
HFT,2023-02-10,6.65,-0.05,-0.746268656716418,6.7,6.7,6.65,77359,514.4929500000001
HMPRO,2023-02-10,14.9,0.2,1.3605442176870748,14.6,14.9,14.5,8587987,126115.4043
