name,fm_date,to_date,fm_price,to_price,qty,max_price,min_price,percent,status
SINGER,2023-07-05,2023-07-06,9.75,9.2,75775160,9.75,8.95,-5.64,B
MCS,2023-07-06,2023-07-06,6.7,6.45,3742072,6.7,6.2,-3.73,B
DIF,2023-07-04,2023-07-06,11.1,10.9,691719920,11.2,10.6,-1.8,B
GVREIT,2023-07-04,2023-07-06,8.45,8.3,709600,8.5,8.3,-1.78,B
SENA,2023-07-04,2023-07-06,3.02,2.98,15040480,3.02,2.9,-1.32,B
SYNEX,2023-07-06,2023-07-06,12.1,12.0,9743608,12.4,11.8,-0.83,B
TMT,2023-07-05,2023-07-06,7.45,7.4,417200,7.45,7.2,-0.67,B
TFFIF,2023-06-29,2023-07-06,7.55,7.6,110344192,7.65,7.55,0.66,B
JMT,2023-07-06,2023-07-06,36.25,36.5,172491956,39.25,34.0,0.69,B
CPNREIT,2023-07-05,2023-07-06,10.7,10.8,118032312,11.4,10.5,0.93,B
STA,2023-07-06,2023-07-06,17.0,17.3,22461208,17.6,16.6,1.76,B
KTC,2023-07-05,2023-07-06,50.25,46.25,70803848,50.25,46.25,-7.96,I
JMART,2023-07-05,2023-07-06,17.6,16.4,948482632,17.6,13.6,-6.82,I
AWC,2023-07-05,2023-07-06,4.88,4.66,244093112,4.98,4.66,-4.51,I
ICHI,2023-07-05,2023-07-06,13.8,13.3,223901336,14.0,12.8,-3.62,I
BBL,2023-07-05,2023-07-06,160.5,156.0,183123192,160.5,155.0,-2.8,I
BCH,2023-07-04,2023-07-06,17.8,17.4,189494568,17.8,16.7,-2.25,I
WHART,2023-07-06,2023-07-06,10.6,10.5,5679446,10.7,10.5,-0.94,I
AH,2023-07-05,2023-07-06,34.5,35.0,34643124,35.0,30.75,1.45,I
PTG,2023-07-04,2023-07-06,12.3,11.7,128446416,12.3,11.5,-4.88,O
EA,2023-07-03,2023-07-06,57.0,54.25,296920528,58.0,52.25,-4.82,O
BEM,2023-07-05,2023-07-06,8.6,8.35,194827264,8.6,8.35,-2.91,O
KKP,2023-07-05,2023-07-06,61.0,59.5,74521656,61.0,58.5,-2.46,O
TASCO,2023-07-04,2023-07-06,18.7,18.3,90626856,18.7,18.1,-2.14,O
ORI,2023-07-06,2023-07-06,10.3,10.1,31367520,10.6,10.1,-1.94,O
TTB,2023-07-05,2023-07-06,1.57,1.54,2685830176,1.57,1.5,-1.91,O
BDMS,2023-07-06,2023-07-06,27.75,27.25,1080573124,28.5,27.25,-1.8,O
KTB,2023-07-05,2023-07-06,19.5,19.2,339735944,19.5,19.1,-1.54,O
BH,2023-06-30,2023-07-06,226.0,223.0,35935408,228.0,222.0,-1.33,O
PTTEP,2023-07-06,2023-07-06,153.0,151.0,35785868,153.0,145.0,-1.31,O
NER,2023-07-06,2023-07-06,4.6,4.54,96062248,4.6,4.46,-1.3,O
LANNA,2023-07-05,2023-07-06,15.0,14.9,7480592,15.0,14.6,-0.67,O
IVL,2023-07-06,2023-07-06,34.5,33.75,221955480,34.5,32.0,-2.17,S
PTTGC,2023-07-06,2023-07-06,38.75,38.5,188716072,38.75,35.25,-0.65,S
JASIF,2023-07-06,2023-07-06,7.05,7.1,54195220,7.15,7.0,0.71,S
