name,%chg_acc,status,fm_price,to_price,market,fm_date,bdays,max_price,min_price
SENA,-3.45,I,3.48,3.36,SET,2023-05-11,3,3.48,3.36
STA,-4.15,B,19.3,18.5,SET100,2023-05-15,1,22.2,18.5
IVL,-4.96,B,35.25,33.5,SET50,2023-05-11,3,35.25,32.0
SYNEX,-5.22,B,13.4,12.7,SET,2023-05-11,3,13.4,12.4
JMT,-5.85,B,42.75,40.25,SET50,2023-05-15,1,42.75,36.25
PTTGC,-7.65,S,42.5,39.25,SET50,2023-05-11,3,42.5,39.25
BANPU,-9.44,B,9.0,8.15,SET50,2023-05-02,10,9.1,8.15
JMART,-10.34,B,20.3,18.2,SET50,2023-05-15,1,20.3,18.2
BCH,-12.98,I,20.8,18.1,SET100,2023-05-11,3,22.1,18.1
SINGER,-22.14,B,14.0,10.9,SET100,2023-05-11,3,14.6,10.9
