name,fm_date,to_date,fm_price,to_price,percent,qty,max_price,min_price,status,action
AH,2024-02-14,2024-02-16,26.5,24.9,-6.04,47391840,29.25,24.9,B,Update
AIMIRT,2024-02-15,2024-02-16,10.6,10.5,-0.94,6281936,10.8,10.5,I,Update
ASK,2024-02-07,2024-02-16,20.2,18.3,-9.41,121882624,20.2,18.3,B,Update
ASP,2024-02-14,2024-02-16,2.84,2.82,-0.7,186550848,2.88,2.8,I,Update
AWC,2024-02-14,2024-02-16,4.12,3.94,-4.37,5432821120,4.16,3.94,B,Update
BBL,2024-02-16,2024-02-16,139.5,140.0,0.36,1039411072,143.5,138.5,O,Insert
BCH,2024-02-16,2024-02-16,21.9,21.8,-0.46,2298607296,23.3,21.7,I,Insert
BEM,2024-02-09,2024-02-16,7.35,7.65,4.08,11904566016,7.65,7.15,O,Update
BH,2024-02-16,2024-02-16,247.0,243.0,-1.62,5745516,247.0,238.0,O,Insert
CK,2024-02-16,2024-02-16,23.7,23.4,-1.27,559132352,23.7,21.0,O,Insert
CPN,2024-02-16,2024-02-16,63.0,63.5,0.79,70203296,65.0,62.5,O,Insert
CPNREIT,2024-02-13,2024-02-16,11.4,11.3,-0.88,541647360,11.4,11.0,B,Update
DIF,2024-02-16,2024-02-16,7.9,7.95,0.63,2978115840,8.3,7.9,B,Insert
GVREIT,2024-02-14,2024-02-16,6.05,6.0,-0.83,26102400,6.05,5.95,B,Update
HANA,2024-02-16,2024-02-16,47.0,44.75,-4.79,237333664,50.75,44.75,O,Insert
ICHI,2024-02-15,2024-02-16,16.8,17.1,1.79,2182965504,17.7,16.7,O,Update
IVL,2024-02-16,2024-02-16,24.5,23.5,-4.08,334790472,25.25,23.5,B,Insert
JASIF,2024-02-15,2024-02-16,6.2,6.15,-0.81,499194432,6.35,6.1,B,Update
JMART,2024-02-14,2024-02-16,15.9,15.0,-5.66,457190816,15.9,14.7,I,Update
JMT,2024-02-14,2024-02-16,24.9,23.1,-7.23,2508335936,24.9,20.7,B,Update
KCE,2024-02-16,2024-02-16,41.25,39.75,-3.64,305727680,46.25,39.75,I,Insert
MCS,2024-02-16,2024-02-16,6.35,6.4,0.79,2799568,6.4,6.15,I,Insert
NER,2024-02-15,2024-02-16,5.3,5.45,2.83,415749792,5.45,5.3,B,Update
ORI,2024-02-15,2024-02-16,8.45,8.25,-2.37,655182848,8.55,8.05,B,Update
PTG,2024-02-14,2024-02-16,8.9,8.7,-2.25,189047424,9.3,8.65,B,Update
PTTGC,2024-02-16,2024-02-16,37.5,37.25,-0.67,578118336,37.5,33.25,B,Insert
RCL,2024-02-15,2024-02-16,25.75,25.25,-1.94,573173632,25.75,24.0,B,Update
SCC,2024-02-16,2024-02-16,264.0,265.0,0.38,89806544,278.0,264.0,I,Insert
SENA,2024-02-16,2024-02-16,2.4,2.42,0.83,95935552,2.48,2.32,B,Insert
SINGER,2024-02-14,2024-02-16,10.6,10.0,-5.66,861351360,10.6,10.0,B,Update
STA,2024-02-12,2024-02-16,16.2,16.6,2.47,329542656,17.3,16.2,B,Update
SYNEX,2024-02-14,2024-02-16,10.9,10.5,-3.67,37984960,11.0,10.5,B,Update
TFFIF,2024-02-16,2024-02-16,7.0,6.95,-0.71,6874436352,7.15,6.75,B,Insert
TMT,2024-02-13,2024-02-16,5.75,5.8,0.87,5592960,5.9,5.75,B,Update
TOA,2024-02-15,2024-02-16,21.9,21.6,-1.37,30126160,21.9,20.9,I,Update
WHAIR,2024-02-16,2024-02-16,5.35,5.3,-0.93,665045248,5.45,5.2,B,Insert
WHART,2024-02-16,2024-02-16,9.7,9.8,1.03,1121997312,10.2,9.7,B,Insert
