name,shares,unit_cost,cost_amt,mkt_price,mkt_amt,amt_rnk,cost_pct,mkt_pct,div_rnk,div_amt
GVREIT,60000,7.9,474000.0,6.9,414000.0,3.0,9.92,11.35,1.0,46998.0
DIF,30000,14.7,441000.0,9.4,282000.0,5.0,6.1,9.54,2.0,26916.0
SENA,105000,4.48,470400.0,2.46,258300.0,6.0,5.23,9.52,3.0,24591.0
WHAIR,50000,8.7,435000.0,6.5,325000.0,4.0,6.3,8.43,4.0,27410.0
AIMIRT,12500,10.9,136250.0,10.9,136250.0,10.0,7.96,7.96,5.0,10850.0
WHART,20000,12.3,246000.0,10.6,212000.0,7.0,6.29,7.3,6.0,15470.0
MCS,78000,15.1,1177800.0,7.45,581100.0,2.0,3.44,6.98,7.0,40560.0
CPNREIT,55000,18.0,990000.0,13.6,748000.0,1.0,4.87,6.44,8.0,48169.0
NER,27000,7.45,201150.0,5.3,143100.0,8.0,4.56,6.42,9.0,9180.0
TFFIF,20000,7.5,150000.0,6.95,139000.0,9.0,5.73,6.18,10.0,8594.0
