date,item,amount,kind,type
2022-01-02,Food,2430,Food,1
2022-01-06,Pets,780,Pets,8
2022-01-07,Medicine,1330,Medicine,4
2022-01-07,Transportation,200,Transportation,5
2022-01-08,Parent,2020,Parent,7
2022-01-08,Mother,4120,Mother,9
2022-01-08,Transportation,150,Transportation,5
2022-01-09,Food,640,Food,1
2022-01-10,Food,180,Food,1
2022-01-10,Pets,7340,Pets,8
2022-01-11,Pets,3790,Pets,8
2022-01-12,Food,410,Food,1
2022-01-12,Food,410,Food,1
2022-01-12,Pets,1700,Pets,8
2022-01-14,Books & Software,330,Edutainment,6
2022-01-16,Yearly Dropbox,4450,Edutainment,6
2022-01-17,Pets,700,Pets,8
2022-01-18,Food,460,Food,1
2022-01-18,Personal Care,1490,Apparel,2
2022-01-18,Fuel,1160,Transportation,5
2022-01-19,Pets,1080,Pets,8
2022-01-20,Medicine,2570,Medicine,4
2022-01-20,Food,130,Food,1
2022-01-24,Food,190,Food,1
2022-01-24,Medicine,610,Medicine,4
2022-01-25,Food,230,Food,1
2022-01-25,Transportation,120,Transportation,5
2022-01-26,Food,240,Food,1
2022-01-28,Food,980,Food,1
2022-01-31,Parent,10000,Parent,7
2022-01-31,Merit Making,10000,Others,6
2022-01-31,Internet Home,640,Communication,5
2022-01-31,CCF,600,Luxury,6
2022-01-31,Packt,340,Edutainment,6
2022-01-31,Telephone Dtac,320,Communication,5
2022-01-31,Monthly Prime,190,Edutainment,6
2022-01-31,Google,170,Edutainment,6
2022-01-31,Apple,100,Edutainment,6
2022-01-31,Patreon,70,Edutainment,6
2022-01-31,Apple,40,Edutainment,6
2022-02-01,Pets,2930,Pets,8
2022-02-03,Food,520,Food,1
2022-02-05,Food,420,Food,1
2022-02-06,Pets,1120,Pets,8
2022-02-10,Food,230,Food,1
2022-02-10,Books & Software,360,Edutainment,6
2022-02-11,Food,180,Food,1
2022-02-11,Fuel,1310,Transportation,5
2022-02-12,Vehicle,520,Transportation,5
2022-02-15,Books & Software,350,Edutainment,6
2022-02-17,Pets,2690,Pets,8
2022-02-18,Medicine,380,Medicine,4
2022-02-21,Food,980,Food,1
2022-02-23,Food,940,Food,1
2022-02-28,Fuel,1360,Transportation,5
2022-02-28,Parent,10000,Parent,7
2022-02-28,Internet Home,640,Communication,5
2022-02-28,CCF,600,Luxury,6
2022-02-28,Packt,340,Edutainment,6
2022-02-28,Telephone Dtac,320,Communication,5
2022-02-28,Monthly Prime,190,Edutainment,6
2022-02-28,Google,170,Edutainment,6
2022-02-28,Apple,100,Edutainment,6
2022-02-28,Patreon,70,Edutainment,6
2022-02-28,Apple,40,Edutainment,6
2022-02-28,Apple,400,Edutainment,6
2022-03-01,Shelter,16800,Shelter,3
2022-03-03,Food,380,Food,1
2022-03-07,Food,230,Food,1
2022-03-07,Books & Software,940,Edutainment,6
2022-03-09,Transportation,90,Transportation,5
2022-03-10,Funeral,4000,Others,6
2022-03-11,Food,1000,Food,1
