name,shares,unit_cost,cost_amt,dividend,div_amt,cost_pct,period
GVREIT,60000,7.9,474000.0,0.7833,46998.0,9.92,2
AIMIRT,12500,10.9,136250.0,0.86,10750.0,7.89,2
WHAIR,50000,8.7,435000.0,0.6342,31710.0,7.29,2
DIF,35000,13.9,486500.0,0.893,31255.0,6.42,2
WHART,20000,12.3,246000.0,0.7075,14150.0,5.75,2
TFFIF,20000,7.5,150000.0,0.4297,8594.0,5.73,2
SENA,105000,4.48,470400.0,0.2342,24591.0,5.23,2
CPNREIT,55000,18.0,990000.0,0.8401,46205.5,4.67,2
NER,27000,7.45,201150.0,0.34,9180.0,4.56,2
ASP,30000,3.8,114000.0,0.17,5100.0,4.47,1
ASK,6000,26.25,157500.0,1.16,6960.0,4.42,1
PTG,3600,11.4,41040.0,0.45,1620.0,3.95,4
RCL,27000,38.75,1046250.0,1.5,40500.0,3.87,4
MCS,75000,15.4,1155000.0,0.52,39000.0,3.38,2
AH,1200,37.0,44400.0,1.25,1500.0,3.38,1
STA,10000,30.0,300000.0,1.0,10000.0,3.33,1
ORI,50000,10.4,520000.0,0.321,16050.0,3.09,1
TOA,1000,26.0,26000.0,0.68,680.0,2.62,1
TMT,36000,10.2,367200.0,0.2,7200.0,1.96,1
IVL,7200,40.0,288000.0,0.7,5040.0,1.75,1
BCH,4000,21.7,86800.0,0.37,1480.0,1.71,4
KCE,10000,77.25,772500.0,1.3,13000.0,1.68,3
3BBIF,120000,10.1,1212000.0,0.16,19200.0,1.58,3
JMT,4200,55.5,233100.0,0.87,3654.0,1.57,3
SCC,600,405.0,243000.0,6.0,3600.0,1.48,1
JMART,6800,33.0,224400.0,0.48,3264.0,1.45,3
SYNEX,15000,28.7,430500.0,0.36,5400.0,1.25,4
PTTGC,6000,64.75,388500.0,0.75,4500.0,1.16,1
AWC,9000,4.96,44640.0,0.05,450.0,1.01,4
SINGER,6000,24.8,148800.0,0.0,0.0,0.0,4
TVO,4000,24.9,99600.0,,,,4
