trade,name,spd,reason,market,qty,target,current,change,%change,active,xdate
B,AH,-1,52WL,SET,600,25.0,25.25,0.0,0.0,1,2022-03-15
B,ASK,-9,RD40pct,SET,1500,18.0,18.9,-0.4,-2.072539,1,2024-02-28
B,AWC,-32,RD25pct,SET50,4500,3.4,4.04,-0.04,-0.980392,0,2022-12-22
B,BBL,-1,XXX,SET50,400,139.0,139.5,-3.0,-2.105263,1,2022-03-08
B,BH,-37,XXX,SET50,100,210.0,247.0,3.0,1.229508,0,2022-12-22
B,CK,-59,XXX,SET100,1000,17.8,23.7,0.3,1.282051,0,2022-12-22
B,CPN,-8,XXX,SET50,300,61.0,63.0,-0.25,-0.395257,1,2022-12-22
B,CPNREIT,-29,RD50pct,SET,3000,9.15,11.3,0.0,0.0,0,2024-02-28
B,GVREIT,-8,RD30pct,SET,6000,5.6,6.0,0.0,0.0,1,2022-02-27
B,HANA,-28,XXX,SET100,500,40.0,47.0,0.25,0.534759,0,2022-12-22
B,ICHI,-31,XXX,SET,1500,14.0,17.1,0.3,1.785714,0,2022-12-22
B,IVL,-20,RD45pct,SET50,800,22.5,24.5,0.1,0.409836,0,2024-05-03
B,JASIF,-43,RD55pct,SET,5000,4.6,6.15,-0.05,-0.806452,0,2024-03-02
B,JMT,-58,RD70Pct,SET50,800,18.0,23.8,-0.6,-2.459016,0,2024-04-11
B,NER,-35,RD40pct,SET,3000,4.44,5.4,0.1,1.886792,0,2024-04-20
B,ORI,-12,RD30pct,SET100,3000,7.8,8.4,-0.05,-0.591716,1,2024-05-08
B,PTG,-16,RD30pct,SET100,3600,7.9,8.7,-0.05,-0.571429,0,2022-12-22
B,PTTGC,-23,RD4,SET50,600,31.75,37.5,0.5,1.351351,0,2024-02-27
B,RCL,-14,RD40pct,SET100,3000,23.7,25.25,-0.5,-1.941748,1,2024-03-16
B,SENA,-8,RD50pct,SET,7000,2.24,2.4,-0.04,-1.639344,1,2024-05-11
B,SINGER,-37,RD70pct,SET100,3000,8.3,10.4,0.0,0.0,0,2024-05-03
B,STA,-26,RD60Pct,SET100,2500,13.9,16.5,0.1,0.609756,0,2024-04-19
B,SYNEX,-40,RD70pct,SET,2000,8.3,10.7,-0.1,-0.925926,0,2024-03-09
B,TFFIF,-8,RD10Pct,SET,2500,6.6,7.0,0.05,0.719424,1,2024-03-02
B,TMT,-55,RD45pct,SET,3000,4.2,5.8,0.0,0.0,0,2024-04-18
B,WHAIR,-14,RD45pct,SET,5000,4.85,5.35,0.0,0.0,0,2024-03-10
B,WHART,-18,RD30pct,SET,5000,8.8,9.7,-0.05,-0.512821,0,2024-03-08
S,AIMIRT,9,5pct,SET,10000,11.4,10.5,-0.1,-0.943396,1,2024-03-15
S,ASP,50,RD30pct,SET,10000,3.82,2.82,0.0,0.0,0,2024-03-08
S,BCH,21,10Pct,SET100,2000,24.0,21.9,0.1,0.458716,0,2024-05-09
S,DIF,4,5pct,SET,3000,8.1,7.9,0.0,0.0,1,2022-02-08
S,JMART,86,5pct,SET50,2000,24.1,15.5,-0.2,-1.273885,0,2024-04-11
S,KCE,82,COS,SET100,1000,61.75,41.25,0.75,1.851852,0,2024-03-20
S,MCS,26,COS,SET,3000,7.65,6.35,-0.05,-0.78125,0,2024-03-17
S,SCC,121,COS,SET50,300,385.0,264.0,-1.0,-0.377358,0,2024-04-07
S,TOA,42,RD25pct,SET,1000,27.25,21.6,-0.3,-1.369863,0,2024-05-09
