trade,name,spd,reason,market,qty,target,current,change,percent,active,xdate
1,B,0,SET100,4500,CK,0,22.5,22.7,0.0,,0
2,B,0,SET100,20000,CKP,0,4.5,4.62,0.06,,0
3,B,0,SET50,3000,COM7,0,30.0,32.25,0.0,,0
4,B,0,SET50,4000,CPF,0,23.0,23.7,-0.1,,0
5,B,0,PF&REIT,10000,CPNREIT,0,18.7,18.9,-0.2,,0
6,B,0,SET100,1000,KCE,0,54.25,57.0,-1.0,,0
7,B,0,SET100,2000,MEGA,0,48.0,51.75,0.5,,0
8,B,0,SET50,3600,PTT,0,32.0,32.75,-0.25,,0
9,B,0,SET100,3000,RCL,0,28.75,31.25,0.5,,0
10,B,0,SET50,90000,TTB,0,1.4,1.45,0.0,,0
11,S,0,SET,10000,DIF,0,14.0,13.6,0,,0
12,S,0,SET50,2400,IVL,0,44.25,40.25,-0.25,,0
13,S,0,SET,10000,JASIF,0,8.5,8.25,0,,0
14,S,0,SET50,3600,JMART,0,41.5,37.25,0.0,,0
15,S,0,SET50,1500,JMT,0,60.0,54.0,-0.75,,0
16,S,0,SET100,15000,ORI,0,12.5,11.9,-0.1,,0
17,S,0,SET100,1200,SINGER,0,29.25,28.0,-0.25,,0
18,S,0,SET100,2500,STA,0,23.0,22.6,0.3,,0
19,S,0,SET,12000,TMT,0,8.7,8.2,0.0,,0
20,S,0,SET,10000,WHAIR,0,8.9,8.05,0,,0
