id,buy_id,date,amt,net,days,profit,percent,yearly,dividend_id
1034,1266,2023-06-23,32099.999999999996,32028.9,3,1361.13,4.43831,539.99438,0
1033,1255,2023-06-16,77000.0,76829.45,28,160.0,0.20869,2.72042,0
1032,1256,2023-06-16,77000.0,76829.45,17,160.0,0.20869,4.4807,0
1031,1257,2023-06-14,24200.0,24146.4,15,1095.46,4.75234,115.64027,0
1030,1254,2023-06-09,33600.0,33525.58,23,2857.81,9.31861,147.88229,0
1029,1259,2023-06-09,25050.0,24994.52,3,1242.03,5.22905,636.20108,0
1028,1260,2023-06-08,21000.0,20953.49,1,909.19,4.5359,1655.6035,0
1027,1258,2023-06-08,25600.0,25543.3,7,1089.25,4.45427,232.25836,0
1026,1251,2023-05-31,51600.0,51485.71,42,3680.06,7.69796,66.89894,0
1025,1226,2023-03-27,94000.0,93791.8,68,4594.67,5.15114,27.6495,0
1024,1218,2023-03-27,77500.0,77328.34,117,2162.22,2.87659,8.97398,0
1023,783,2023-03-07,133000.0,132705.42,879,-14620.17,-9.92371,-4.12077,0
1022,1127,2023-02-13,190200.0,189778.73,355,-15875.76,-7.71963,-7.93708,0
1021,961,2023-02-08,60250.0,60116.55,567,-34467.49,-36.44113,-23.45858,0
1020,1169,2023-02-08,171600.0,171219.93,279,-6773.43,-3.80544,-4.97844,0
1019,1138,2023-02-08,54500.0,54379.28,342,-3749.18,-6.44982,-6.88358,0
1018,1149,2023-02-08,54500.0,54379.28,327,-10013.03,-15.55004,-17.35708,0
1017,1156,2023-02-01,56000.0,55875.97,300,-7013.01,-11.15141,-13.56755,0
1016,1190,2023-01-31,53750.0,53630.95,231,-7754.72,-12.63279,-19.9609,0
1015,1233,2023-01-30,78000.0,77827.24,1,656.69,0.85096,310.6004,0
1014,1006,2023-01-25,54750.0,54628.74,499,-33691.45,-38.14694,-27.90307,0
1013,1014,2023-01-25,53500.0,53381.5,489,-29927.61,-35.92357,-26.81412,0
1012,1130,2023-01-24,318750.0,318044.0,334,14372.89,4.73304,5.17233,0
1011,1036,2023-01-19,53000.0,52882.61,449,-29173.73,-35.55329,-28.90189,0
1010,1125,2023-01-17,152250.0,151912.78,328,-11197.69,-6.8651,-7.63952,0
1009,1223,2023-01-09,105300.0,105066.77,5,5847.49,5.8935,430.2255,0
1008,1221,2023-01-09,126000.0,125720.92,20,5455.13,4.5359,82.78018,0
1007,1222,2023-01-03,98250.0,98032.38,13,4074.74,4.33678,121.76344,0
1006,1219,2022-12-30,49500.0,49390.36,17,-1722.6,-3.37018,-72.35975,0
1005,1191,2022-12-28,93000.0,92794.01,195,-15445.2,-14.26951,-26.7096,0
1004,1073,2022-12-28,50750.0,50637.6,380,-23275.75,-31.49059,-30.24754,0
1003,1081,2022-12-27,49250.0,49140.91,372,-24772.44,-33.51552,-32.88485,0
1002,993,2022-12-23,35040.0,34962.39,490,-13745.25,-28.21991,-21.02095,0
1001,1220,2022-12-20,108000.0,107760.79,4,6737.52,6.66928,608.5718,0
1000,1215,2022-11-22,110000.0,109756.36,4,4523.8,4.29886,392.27098,0
999,1216,2022-11-21,34080.0,34004.51,458,-14703.13,-30.1865,-24.05693,0
998,1214,2022-11-15,32880.0,32807.18,189,-15900.46,-32.64469,-63.04398,0
997,1200,2022-11-08,92250.0,92045.67,85,-8676.93,-8.61468,-36.99245,0
996,1103,2022-11-07,102000.0,101774.08,293,-13681.07,-11.84968,-14.76155,0
995,1150,2022-11-02,48300.00000000001,48193.02,226,-25469.78,-34.57618,-55.84206,0
994,1148,2022-11-01,44250.0,44151.99,232,-13475.37,-23.38363,-36.7889,0
993,1141,2022-11-01,48000.0,47893.68,242,-16623.91,-25.76648,-38.86267,0
992,1139,2022-10-31,130500.0,130210.95,242,-23879.59,-15.49712,-23.37376,0
991,1067,2022-10-26,55199.99999999999,55077.74,323,-6558.48,-10.64063,-12.02424,0
990,1209,2022-10-19,87750.0,87555.65,7,4121.26,4.93952,257.56069,0
989,1208,2022-10-06,156375.0,156028.64,9,-10840.15,-6.49621,-263.45741,0
988,1206,2022-09-12,108750.0,108509.13,4,3276.57,3.11365,284.12056,0
987,1204,2022-09-09,82500.0,82317.27,1,3643.39,4.631,1690.315,0
986,1144,2022-09-05,102600.0,102372.75,182,146.83,0.14363,0.28805,0
985,1180,2022-09-01,57000.0,56873.75,99,1250.82,2.24875,8.29085,0
984,1189,2022-08-23,177000.0,176607.96,74,3725.88,2.15516,10.63018,0
983,1199,2022-08-15,93300.0,93093.35,11,-112.64,-0.12085,-4.01002,0
982,1195,2022-07-25,83700.0,83514.61,28,531.21,0.64014,8.34468,0
981,1186,2022-07-25,103500.0,103270.75,49,443.5,0.43131,3.21282,0
980,856,2022-07-22,88500.0,88303.98,470,-9411.98,-9.63198,-7.48015,0
979,845,2022-07-04,88500.0,88303.98,469,-9411.98,-9.63198,-7.4961,0
978,1196,2022-06-29,58500.0,58370.42,1,1244.17,2.17793,794.94445,0
977,1185,2022-06-27,125000.0,124723.14,26,-1555.94,-1.23214,-17.29735,0
976,1182,2022-06-23,111600.0,111352.82,28,-5906.32,-5.03698,-65.66063,0
975,1193,2022-06-23,83700.0,83514.61,1,531.21,0.64014,233.6511,0
974,781,2022-06-13,135000.0,134700.99,681,-12624.6,-8.56918,-4.59288,0
973,1171,2022-06-13,33300.0,33226.24,38,453.81,1.38473,13.3007,0
972,1187,2022-06-08,181500.0,181097.99,2,8215.91,4.75232,867.2984,0
971,1179,2022-05-31,294000.0,293348.82,7,1704.28,0.58437,30.47072,0
970,1045,2022-05-30,152250.0,151912.78,201,77.22,0.05086,0.09236,0
969,1181,2022-05-27,86800.0,86607.74,2,5929.44,7.34949,1341.28193,0
968,1183,2022-05-26,24600.0,24545.52,1,1494.58,6.48381,2366.59065,0
967,1044,2022-05-23,153000.0,152661.12,195,3832.2,2.5749,4.81968,0
966,1140,2022-05-23,840.0,838.14,81,-58.84,-6.55979,-29.55955,0
965,1059,2022-05-17,111000.0,110754.15,169,-5001.68,-4.32089,-9.3321,0
964,1086,2022-05-17,77000.0,76829.45,140,-14873.22,-16.21896,-42.28515,0
963,1176,2022-05-13,78000.0,77827.24,136,-13875.43,-15.13089,-40.60864,0
962,1002,2022-05-12,79500.0,79323.91,248,-12378.76,-13.4988,-19.86719,0
961,1126,2022-05-11,127200.0,126918.27,77,-5374.1,-4.06229,-19.25631,0
960,1174,2022-05-10,46560.0,46456.87,263,-2250.77,-4.62098,-6.41315,0
959,1170,2022-05-06,112500.0,112250.82,158,-3505.01,-3.02793,-6.9949,0
958,1166,2022-05-03,66300.0,66153.15,69,6.97,0.01054,0.05576,0
957,1137,2022-04-29,110000.0,109756.36,58,-2491.71,-2.21982,-13.96956,0
956,1162,2022-04-28,187500.0,187084.7,7,5182.69,2.84917,148.56386,0
955,1124,2022-04-22,203000.0,202550.38,63,6116.26,3.11364,18.03934,0
954,1153,2022-04-20,53760.0,53640.93,27,2407.7,4.69949,63.53014,0
953,1112,2022-04-18,242000.0,241463.99,74,-7085.31,-2.85067,-14.06074,0
952,1147,2022-04-18,127000.0,126718.71,39,-3569.23,-2.73949,-25.63882,0
