name,price_d,price_w,percent,perform
SINGER,8.2,9.2,-10.869565217391305,Worse
ASK,23.9,25.25,-5.346534653465352,Worse
DIF,9.85,10.4,-5.288461538461545,Worse
STA,16.5,17.3,-4.624277456647403,Worse
SYNEX,11.4,11.8,-3.3898305084745792,Worse
GVREIT,8.05,8.3,-3.012048192771084,Worse
CPNREIT,10.7,10.9,-1.8348623853211108,Worse
JASIF,6.7,6.8,-1.4705882352941124,Worse
WHART,10.6,10.7,-0.9345794392523332,Worse
AWC,4.42,4.46,-0.896860986547086,Worse
AH,32.75,33.0,-0.7575757575757576,Worse
TFFIF,7.55,7.55,0.0,No Change
WHAIR,6.95,6.95,0.0,No Change
PTG,10.7,10.7,0.0,No Change
RCL,24.3,24.2,0.41322314049587366,Better
SENA,3.02,3.0,0.6666666666666672,Better
TMT,7.25,7.2,0.694444444444442,Better
MCS,6.55,6.5,0.7692307692307665,Better
SCC,322.0,319.0,0.9404388714733543,Better
ORI,10.5,10.4,0.9615384615384581,Better
ASP,2.84,2.8,1.42857142857143,Better
ICHI,14.7,14.4,2.083333333333326,Better
NER,4.64,4.54,2.2026431718061596,Better
BCH,18.1,17.7,2.2598870056497296,Better
TTB,1.69,1.65,2.4242424242424265,Better
KCE,39.75,38.75,2.5806451612903225,Better
JMT,39.25,37.75,3.9735099337748347,Better
JMART,17.2,16.5,4.242424242424238,Better
IVL,34.25,32.75,4.580152671755725,Better
PTTGC,39.25,37.0,6.081081081081082,Better
