sell_year,sell_month,buy_year,buy_month,name,net
2023,1,2021,9,STA,-63619.06
2023,1,2021,10,STA,-29173.73
2023,1,2022,2,CPAXT,14372.89
2023,1,2022,2,PTTGC,-11197.69
2023,1,2022,6,KCE,-7754.72
2023,1,2022,12,GFPT,4074.74
2023,1,2022,12,JMART,5455.13
2023,1,2023,1,SINGER,5847.49
2023,1,2023,1,WHAIR,656.69
2023,2,2021,7,STA,-34467.49
2023,2,2022,2,SCCC,-15875.76
2023,2,2022,3,KCE,-13762.210000000001
2023,2,2022,4,KCE,-7013.01
2023,2,2022,5,DCC,-6773.43
2023,3,2020,10,DIF,-14620.17
2023,3,2022,11,TFFIF,2162.22
2023,3,2023,1,GVREIT,4594.67
2023,5,2023,4,JMT,3680.06
2023,6,2023,1,BANPU,-60225.270000000004
2023,6,2023,3,BANPU,-26319.61
2023,6,2023,5,NER,1095.46
2023,6,2023,5,ORI,2857.81
2023,6,2023,5,TFFIF,320.0
2023,6,2023,6,CPNREIT,1361.13
2023,6,2023,6,DIF,1103.43
2023,6,2023,6,EA,2092.91
2023,6,2023,6,JMT,1242.03
2023,6,2023,6,KTC,909.19
2023,7,2023,6,ICHI,73.48
2023,7,2023,6,JMART,1480.86
2023,7,2023,6,KTC,-4689.38
2023,7,2023,7,BBL,4514.72
2023,8,2022,5,WHART,532.66
2023,8,2023,3,JMART,1312.41
2023,8,2023,4,JMART,1093.15
2023,8,2023,6,ICHI,2146.35
2023,8,2023,6,JMT,6418.09
2023,8,2023,7,JMART,4398.53
2023,8,2023,7,TTB,1687.04
2023,9,2023,9,JMART,4105.04
